domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
assets.contentstack.io,0,0.00%,360,360,0.00%
c.hljzfkyy.com,0,0.00%,556,556,0.00%
www.jd.com,0,0.00%,707,707,0.00%
sdl.360safe.com,0,0.00%,130,130,0.00%
pypi.org,0,0.00%,11240,11240,0.00%
us-v20.events.data.microsoft.com,0,0.00%,110,110,0.00%
apc.antiy.net.cn,0,0.00%,111,111,0.00%
iepupdate.antiy.cn,0,0.00%,113,113,0.00%
s.360.cn,0,0.00%,129,129,0.00%
api.basedata.union.longu.xyz,0,0.00%,194,194,0.00%
dyncli.ping-ipv6.com,0,0.00%,1151,1151,0.00%
upd.sangfor.com.cn,0,0.00%,145,145,0.00%
cloudinfo.rising.com.cn,0,0.00%,103,103,0.00%
login.tailscale.com,0,0.00%,144,144,0.00%
a.gtld-servers.net,0,0.00%,2358,2358,0.00%
ns1.dns-parking.com,0,0.00%,344,344,0.00%
ns2.dns-parking.com,0,0.00%,421,421,0.00%
dns2.namecheaphosting.com,0,0.00%,259,259,0.00%
ns03.domaincontrol.com,0,0.00%,265,265,0.00%
ns04.domaincontrol.com,0,0.00%,273,273,0.00%
ns1.bodis.com,0,0.00%,245,245,0.00%
ns27.domaincontrol.com,0,0.00%,140,140,0.00%
ns16.domaincontrol.com,0,0.00%,168,168,0.00%
ns43.domaincontrol.com,0,0.00%,272,272,0.00%
ns19.domaincontrol.com,0,0.00%,257,257,0.00%
ns-cloud-c3.googledomains.com,0,0.00%,258,258,0.00%
ns-cloud-a1.googledomains.com,0,0.00%,266,266,0.00%
ns-cloud-e4.googledomains.com,0,0.00%,246,246,0.00%
ns05.domaincontrol.com,0,0.00%,174,174,0.00%
ns44.domaincontrol.com,0,0.00%,280,280,0.00%
ns20.domaincontrol.com,0,0.00%,249,249,0.00%
ns73.domaincontrol.com,0,0.00%,248,248,0.00%
dns101.registrar-servers.com,0,0.00%,116,116,0.00%
ns-cloud-c2.googledomains.com,0,0.00%,261,261,0.00%
ns-cloud-a4.googledomains.com,0,0.00%,269,269,0.00%
ns06.domaincontrol.com,0,0.00%,178,178,0.00%
ns-cloud-c1.googledomains.com,0,0.00%,252,252,0.00%
ns-cloud-c4.googledomains.com,0,0.00%,245,245,0.00%
ns-cloud-d3.googledomains.com,0,0.00%,243,243,0.00%
dns2.registrar-servers.com,0,0.00%,1665,1665,0.00%
ns-cloud-a3.googledomains.com,0,0.00%,259,259,0.00%
ns-cloud-a2.googledomains.com,0,0.00%,284,284,0.00%
ns1.panamans.com,0,0.00%,199,199,0.00%
ns1.wordpress.com,0,0.00%,107,107,0.00%
ns2.wordpress.com,0,0.00%,119,119,0.00%
ns3.wordpress.com,0,0.00%,106,106,0.00%
ns-cloud-b2.googledomains.com,0,0.00%,297,297,0.00%
ns2.bodis.com,0,0.00%,268,268,0.00%
ns28.domaincontrol.com,0,0.00%,148,148,0.00%
ns-cloud-b4.googledomains.com,0,0.00%,268,268,0.00%
ns74.domaincontrol.com,0,0.00%,236,236,0.00%
ns-cloud-b1.googledomains.com,0,0.00%,263,263,0.00%
ns-cloud-b3.googledomains.com,0,0.00%,286,286,0.00%
ns-cloud-d1.googledomains.com,0,0.00%,262,262,0.00%
ns-cloud-d4.googledomains.com,0,0.00%,270,270,0.00%
ns-cloud-d2.googledomains.com,0,0.00%,250,250,0.00%
ns2.nic53.de,0,0.00%,122,122,0.00%
ns63.domaincontrol.com,0,0.00%,142,142,0.00%
ns2.bluehost.com,0,0.00%,200,200,0.00%
ns2.panamans.com,0,0.00%,207,207,0.00%
ns42.domaincontrol.com,0,0.00%,132,132,0.00%
ns15.domaincontrol.com,0,0.00%,178,178,0.00%
ns-cloud-e1.googledomains.com,0,0.00%,254,254,0.00%
dns1.namecheaphosting.com,0,0.00%,228,228,0.00%
ns64.domaincontrol.com,0,0.00%,148,148,0.00%
ns2.dan.com,0,0.00%,205,205,0.00%
ns36.domaincontrol.com,0,0.00%,394,394,0.00%
ns1.dnsowl.com,0,0.00%,210,210,0.00%
ns-cloud-e2.googledomains.com,0,0.00%,246,246,0.00%
ns2.dnsowl.com,0,0.00%,227,227,0.00%
ns23.domaincontrol.com,0,0.00%,201,201,0.00%
ns24.domaincontrol.com,0,0.00%,229,229,0.00%
