Zone,"Zone UTF8",Delegated,"Registry Name","Registry Alias","Registry Info URL","Registry URL","Backend Name","Backend Alias","Backend Info URL","Backend URL","Whois Hostname","Whois Charset","Whois IPv6","Whois Options","Trademark Open","Trademark Close"
coach,coach,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2015-03-02,2015-06-02
cricket,cricket,1,"Global Registry Services Limited",Global-Registry-Services-Limited,http://ntldstats.com/registry/Global-Registry-Services-Limited,https://grs.domains/,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.cricket,utf8,1,,,
sanofi,sanofi,1,Sanofi,Sanofi,http://ntldstats.com/registry/Sanofi,,"Verisign, Inc.",Verisign-Inc,http://ntldstats.com/backend/Verisign-Inc,https://www.verisign.com/?inc=www.verisigninc.com,whois.nic.sanofi,utf8,1,,,
flowers,flowers,1,"XYZ.COM LLC",XYZCOM-LLC,http://ntldstats.com/registry/XYZCOM-LLC,https://xyz.xyz/,CentralNic,CentralNic,http://ntldstats.com/backend/CentralNic,https://www.centralnicgroup.com/,whois.centralnic.com,utf8,0,,2015-04-07,2015-07-06
marriott,marriott,1,"Marriott Worldwide Corporation",Marriott-Worldwide-Corporation,http://ntldstats.com/registry/Marriott-Worldwide-Corporation,,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.afilias-srs.net,utf8,1,,,
stcgroup,stcgroup,1,"Saudi Telecom Company",Saudi-Telecom-Company,http://ntldstats.com/registry/Saudi-Telecom-Company,,CentralNic,CentralNic,http://ntldstats.com/backend/CentralNic,https://www.centralnicgroup.com/,whois.centralnic.com,utf8,0,,2016-07-28,2016-10-26
xn--vuq861b,信息,1,"Beijing Tele-info Network Technology Co., Ltd.",Beijing-Teleinfo-Network-Technology-Co-Ltd,http://ntldstats.com/registry/Beijing-Teleinfo-Network-Technology-Co-Ltd,,"Beijing Tele-info Network Technology Co., Ltd.",Beijing-Teleinfo-Network-Technology-Co-Ltd,http://ntldstats.com/backend/Beijing-Teleinfo-Network-Technology-Co-Ltd,https://www.teleinfo.cn/,whois.nic.xn--vuq861b,utf8,1,,2016-03-28,2016-06-26
lat,lat,1,"XYZ.COM LLC",XYZCOM-LLC,http://ntldstats.com/registry/XYZCOM-LLC,https://xyz.xyz/,CentralNic,CentralNic,http://ntldstats.com/backend/CentralNic,https://www.centralnicgroup.com/,whois.centralnic.com,utf8,0,,2015-05-12,2015-08-10
docs,docs,1,"Charleston Road Registry Inc.",Charleston-Road-Registry-Inc,http://ntldstats.com/registry/Charleston-Road-Registry-Inc,https://www.registry.google,"Google Inc.",Google-Inc,http://ntldstats.com/backend/Google-Inc,https://www.registry.google/,whois.nic.google,utf8,1,,,
bom,bom,1,"Núcleo de Informa??o e Coordena??o do Ponto BR",N-cleo-de-Informa-o-e-Coordena-o-do-Ponto-BR-NICbr,http://ntldstats.com/registry/N-cleo-de-Informa-o-e-Coordena-o-do-Ponto-BR-NICbr,,NIC.br,NICbr,http://ntldstats.com/backend/NICbr,https://nic.br/,whois.gtlds.nic.br,utf8,1,,,
swiss,swiss,1,"Swiss Confederation",Swiss-Confederation,http://ntldstats.com/registry/Swiss-Confederation,https://dot.swiss/,"CORE Association",CORE-Association,http://ntldstats.com/backend/CORE-Association,https://corenic.org/,whois.nic.swiss,utf8,1,,2016-01-11,2016-04-10
memorial,memorial,1,"Dog Beach, LLC",Dog-Beach-LLC,http://ntldstats.com/registry/Dog-Beach-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2015-03-02,2015-06-02
money,money,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2015-03-02,2015-06-02
legal,legal,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2015-03-02,2015-06-02
video,video,1,"Dog Beach, LLC",Dog-Beach-LLC,http://ntldstats.com/registry/Dog-Beach-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.nic.video,utf8,1,,2015-04-29,2015-07-28
dev,dev,1,"Charleston Road Registry Inc.",Charleston-Road-Registry-Inc,http://ntldstats.com/registry/Charleston-Road-Registry-Inc,https://www.registry.google,"Google Inc.",Google-Inc,http://ntldstats.com/backend/Google-Inc,https://www.registry.google/,whois.nic.google,utf8,1,,,
sale,sale,1,"Dog Beach, LLC",Dog-Beach-LLC,http://ntldstats.com/registry/Dog-Beach-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.nic.sale,utf8,1,,2015-04-29,2015-07-28
adult,adult,1,"ICM Registry LLC",ICM-Registry-LLC,http://ntldstats.com/registry/ICM-Registry-LLC,https://icmregistry.biz/,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.adult,utf8,1,,2015-06-04,2016-02-02
trust,trust,1,"Internet Naming Co.",Internet-Naming-Co,http://ntldstats.com/registry/Internet-Naming-Co,https://internetnaming.co,"Tucows Registry Services",Tucows-Inc,http://ntldstats.com/backend/Tucows-Inc,https://www.tucowsregistry.com/,whois.nic.trust,utf8,1,,2015-03-09,2015-06-07
porn,porn,1,"ICM Registry LLC",ICM-Registry-LLC,http://ntldstats.com/registry/ICM-Registry-LLC,https://icmregistry.biz/,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.porn,utf8,1,,2015-06-04,2016-02-02
final,final,1,"Núcleo de Informa??o e Coordena??o do Ponto BR",N-cleo-de-Informa-o-e-Coordena-o-do-Ponto-BR-NICbr,http://ntldstats.com/registry/N-cleo-de-Informa-o-e-Coordena-o-do-Ponto-BR-NICbr,,NIC.br,NICbr,http://ntldstats.com/backend/NICbr,https://nic.br/,whois.gtlds.nic.br,utf8,1,,,
sener,sener,1,"Sener Ingeniería y Sistemas, S.A.",Sener-Ingenier-a-y-Sistemas-SA,http://ntldstats.com/registry/Sener-Ingenier-a-y-Sistemas-SA,,"Verisign, Inc.",Verisign-Inc,http://ntldstats.com/backend/Verisign-Inc,https://www.verisign.com/?inc=www.verisigninc.com,whois.nic.sener,utf8,1,,,
