domain,num_aaaa_fail,rate_all,num_aaaa_all,num_aaaa_success,rate_aaaa_fail
filetracker.xyz,25,0.04%,51,26,49.02%
update100.sangfor.com.cn,25,0.04%,44,19,56.82%
tracker.hama3.net,25,0.04%,47,22,53.19%
router2.teamviewer.com,25,0.04%,25,0,100.00%
router8.teamviewer.com,25,0.04%,27,2,92.59%
code.osssc.ac.cn,25,0.04%,25,0,100.00%
array808.prod.do.dsp.mp.microsoft.com,24,0.04%,24,0,100.00%
tr.cili001.com,24,0.04%,24,0,100.00%
tracker.files.fm,24,0.04%,24,0,100.00%
tracker.nitrix.me,24,0.04%,48,24,50.00%
tracker.uw0.xyz,24,0.04%,24,0,100.00%
router16.teamviewer.com,24,0.04%,24,0,100.00%
developer.unity.cn,24,0.04%,24,0,100.00%
ts.eset.com,24,0.04%,24,0,100.00%
clients4.google.com,24,0.04%,29,5,82.76%
usercount.dockernb.com,24,0.04%,24,0,100.00%
comet.jianguoyun.com,24,0.04%,24,0,100.00%
download.visualstudio.microsoft.com,24,0.04%,24,0,100.00%
tracker.fixr.pro,24,0.04%,24,0,100.00%
router9.teamviewer.com,24,0.04%,24,0,100.00%
www.tg5tj2cu.com,24,0.04%,24,0,100.00%
outlook.ha.office365.com,23,0.04%,46,23,50.00%
mathpix.com,23,0.04%,44,21,52.27%
deault-exp-tas-com.e-0014.e-msedge.net,23,0.04%,42,19,54.76%
router5.teamviewer.com,23,0.04%,26,3,88.46%
sg02.ipv2.xyz,23,0.04%,23,0,100.00%
outlook.office365.com,22,0.04%,45,23,48.89%
tracker.bt4g.com,22,0.04%,44,22,50.00%
9.rarbg.me,22,0.04%,22,0,100.00%
thetracker.org,22,0.04%,22,0,100.00%
udp-tracker.shittyurl.org,22,0.04%,22,0,100.00%
arc.trafficmanager.net,22,0.04%,22,0,100.00%
cloud.dell.com,22,0.04%,22,0,100.00%
www.googleapis.com,21,0.04%,24,3,87.50%
t2.pow7.com,21,0.04%,42,21,50.00%
msgsrv01.oray.net,21,0.04%,21,0,100.00%
poll.exmail.qq.com,21,0.04%,21,0,100.00%
9.rarbg.to,21,0.04%,21,0,100.00%
edu.uifr.ru,21,0.04%,21,0,100.00%
engplus.ru,21,0.04%,21,0,100.00%
opentor.org,21,0.04%,41,20,51.22%
tracker0.ufibox.com,21,0.04%,21,0,100.00%
torrentclub.online,21,0.04%,21,0,100.00%
tracker.shkinev.me,21,0.04%,21,0,100.00%
tracker.zerobytes.xyz,21,0.04%,21,0,100.00%
tracker.v6speed.org,21,0.04%,21,0,100.00%
dev.ditu.live.com,21,0.04%,21,0,100.00%
nexus.officeapps.live.com,21,0.04%,21,0,100.00%
ocsp2-cn-lb.apple.com.akadns.net,21,0.04%,22,1,95.45%
bt.okmp3.ru,20,0.04%,20,0,100.00%
stream.zotero.org,20,0.04%,38,18,52.63%
www.wshifen.com,20,0.04%,20,0,100.00%
cdn-file.ludashi.com,20,0.04%,20,0,100.00%
accounts.google.com,20,0.04%,27,7,74.07%
free.publictracker.xyz,20,0.04%,20,0,100.00%
mail.realliferpg.de,20,0.04%,20,0,100.00%
newtoncity.org,20,0.04%,20,0,100.00%
honeycomb.wpscdn.cn,20,0.04%,38,18,52.63%
valakas.rollo.dnsabr.com,20,0.04%,20,0,100.00%
vibe.community,20,0.04%,20,0,100.00%
account.jetbrains.com,20,0.04%,20,0,100.00%
push.services.mozilla.com,20,0.04%,20,0,100.00%
ocsp.digicert.com,20,0.04%,33,13,60.61%
k256.gslb.ksyuncdn.com,20,0.04%,20,0,100.00%
ins-qw3q8ofk.ias.tencent-cloud.net,20,0.04%,20,0,100.00%
dcldshlupt.alicdn.com,20,0.04%,20,0,100.00%
c9b086079795c442.jijifun.com,20,0.04%,20,0,100.00%
shavar.services.mozilla.com,20,0.04%,20,0,100.00%
router7.teamviewer.com,20,0.04%,20,0,100.00%
android.l.google.com,19,0.03%,19,0,100.00%
bsg.w.bilicdn1.com,19,0.03%,19,0,100.00%
mcs-bd.feishu.cn,19,0.03%,19,0,100.00%
pub.idqqimg.com,19,0.03%,42,23,45.24%
app.huabao.360.cn,19,0.03%,32,13,59.38%
pico.eset.com,19,0.03%,19,0,100.00%
caldav.163.com,19,0.03%,19,0,100.00%
mail.163.com,19,0.03%,19,0,100.00%
go.microsoft.com,19,0.03%,48,29,39.58%
router12.teamviewer.com,19,0.03%,24,5,79.17%
officeclient.microsoft.com,19,0.03%,19,0,100.00%
q.cnblogs.com,19,0.03%,19,0,100.00%
www.microvirt.com,19,0.03%,19,0,100.00%
china.bing123.com,18,0.03%,18,0,100.00%
broadcast.chat.bilibili.com,18,0.03%,18,0,100.00%
tracker.1337x.org,18,0.03%,295,277,6.10%
licensing.mp.microsoft.com,18,0.03%,18,0,100.00%
tracker.coalition.space,18,0.03%,34,16,52.94%
ts2.cn.mm.bing.net,18,0.03%,18,0,100.00%
torrentsmd.com,18,0.03%,18,0,100.00%
tracker.trackerfix.com,18,0.03%,18,0,100.00%
plussvr.wps.cn,18,0.03%,18,0,100.00%
mobile.pipe.aria.microsoft.com,18,0.03%,20,2,90.00%
todolist.redirect.xzdesktop.cqttech.com,18,0.03%,18,0,100.00%
ntp4.aliyun.com,18,0.03%,18,0,100.00%
vscode-sync-ase-01.azurewebsites.net,18,0.03%,18,0,100.00%
waws-prod-sg1-051.sip.azurewebsites.windows.net,18,0.03%,18,0,100.00%
6fe97759aa27a0c9.jijifun.com,18,0.03%,18,0,100.00%
prom-monitorproxy1.fastsdwan.com,18,0.03%,18,0,100.00%
t1.pow7.com,18,0.03%,31,13,58.06%
api.ultimaker.com,18,0.03%,18,0,100.00%
router3.teamviewer.com,18,0.03%,20,2,90.00%
self-events-data.trafficmanager.net,18,0.03%,18,0,100.00%
helpdubaclient.ksmobile.com,18,0.03%,18,0,100.00%
advanced-cm-1.nodesub.com,18,0.03%,18,0,100.00%
outlook.ms-acdc.office.com,17,0.03%,34,17,50.00%
mainnet.infura.io,17,0.03%,34,17,50.00%
aapl-maps.qtlcdn.com,17,0.03%,32,15,53.12%
nleditor.osi.office.net,17,0.03%,17,0,100.00%
download.windowsupdate.com,17,0.03%,20,3,85.00%
crl4.digicert.com,17,0.03%,29,12,58.62%
onetag-sys.com,17,0.03%,17,0,100.00%
www.google.com,17,0.03%,146,129,11.64%
ts1.cn.mm.bing.net,17,0.03%,17,0,100.00%
bt.nfshost.com,17,0.03%,17,0,100.00%
crl.verisign.com,17,0.03%,27,10,62.96%
5kong4.com,17,0.03%,17,0,100.00%
fs.microsoft.com,17,0.03%,17,0,100.00%
lax.link.ac.cn,17,0.03%,17,0,100.00%
miserupdate.aliyun.com,17,0.03%,17,0,100.00%
a.w.bilicdn1.com,17,0.03%,18,1,94.44%
router14.teamviewer.com,17,0.03%,17,0,100.00%
prebid-us.creativecdn.com,16,0.03%,16,0,100.00%
hw-web-player-tracker.biliapi.net,16,0.03%,16,0,100.00%
t.acg.rip,16,0.03%,16,0,100.00%
catalog.gamepass.com,16,0.03%,37,21,43.24%
tt.browser.360.cn,16,0.03%,16,0,100.00%
ksopush.kdocs.cn,16,0.03%,16,0,100.00%
clientnotification-userprodscus1-0.servicebus.windows.net,16,0.03%,16,0,100.00%
msedge.api.cdp.microsoft.com,16,0.03%,21,5,76.19%
wdl1.file.cache.docer.com,16,0.03%,23,7,69.57%
hm.baidu.com,16,0.03%,34,18,47.06%
download.pinyin.sogou.com,16,0.03%,16,0,100.00%
video-hw-drcn.dbankcdn.cn,16,0.03%,36,20,44.44%
dss0.bdstatic.com,16,0.03%,16,0,100.00%
www.gsd92gov.com,16,0.03%,16,0,100.00%
router10.teamviewer.com,16,0.03%,20,4,80.00%
pss.bdstatic.com,16,0.03%,18,2,88.89%
vpn.oceanum.cn,16,0.03%,16,0,100.00%
erickson514-my.sharepoint.com,16,0.03%,16,0,100.00%
upos-sz-mirrorali.bilivideo.com,16,0.03%,16,0,100.00%
targetednotifications-tm.trafficmanager.net,16,0.03%,16,0,100.00%
honeycomb.wps.cn,16,0.03%,16,0,100.00%
gspe35-ssl.ls-apple.com.akadns.net,16,0.03%,16,0,100.00%
gspe35-cn-ssl.ls-apple.com.akadns.net,16,0.03%,16,0,100.00%
isrc.iscas.ac.cn,16,0.03%,16,0,100.00%
substrate.office.com,15,0.03%,35,20,42.86%
rinkeby.infura.io,15,0.03%,15,0,100.00%
st.pinyin.sogou.com,15,0.03%,15,0,100.00%
pss.alicdn.com,15,0.03%,15,0,100.00%
p0.qhimg.com,15,0.03%,19,4,78.95%
s.f.360.cn,15,0.03%,21,6,71.43%
task.browser.360.cn,15,0.03%,15,0,100.00%
123.sogou.com,15,0.03%,15,0,100.00%
cs22.wpc.v0cdn.net,15,0.03%,15,0,100.00%
datarouter.ol.epicgames.com,15,0.03%,15,0,100.00%
device.sangfor.com.cn,15,0.03%,15,0,100.00%
atrack.pow7.com,15,0.03%,30,15,50.00%
tracker.pow7.com,15,0.03%,30,15,50.00%
h4.trakx.nibba.trade,15,0.03%,15,0,100.00%
e6913.dscx.akamaiedge.net,15,0.03%,30,15,50.00%
pr.x.hub.sandai.net,15,0.03%,15,0,100.00%
e8652.dscx.akamaiedge.net,15,0.03%,30,15,50.00%
down.anticheatexpert.com,15,0.03%,15,0,100.00%
cn-bing-com.cn.a-0001.a-msedge.net,14,0.02%,14,0,100.00%
umwatson.events.data.microsoft.com,14,0.02%,14,0,100.00%
HND-efz.ms-acdc.office.com,14,0.02%,28,14,50.00%
normandy.cdn.mozilla.net,14,0.02%,14,0,100.00%
wdl1.cache.wps.cn,14,0.02%,25,11,56.00%
e-0009.e-msedge.net,14,0.02%,14,0,100.00%
mini.360.cn,14,0.02%,16,2,87.50%
c.go-mpulse.net,14,0.02%,32,18,43.75%
cloud-rest.lenovomm.com,14,0.02%,14,0,100.00%
df.cache.wpscdn.cn,14,0.02%,20,6,70.00%
www.jetbrains.com,14,0.02%,36,22,38.89%
edge.ivideo.sina.com.cn,14,0.02%,29,15,48.28%
hectorstatic.baidu.com,14,0.02%,16,2,87.50%
weather-data.apple.com,14,0.02%,27,13,51.85%
d2nxq2uap88usk.cloudfront.net,14,0.02%,28,14,50.00%
fsrcn.lenovomm.com,14,0.02%,14,0,100.00%
www.tm.a.prd.aadg.trafficmanager.net,14,0.02%,14,0,100.00%
functional.events.data.microsoft.com,14,0.02%,14,0,100.00%
reswx.tc.qq.com,14,0.02%,14,0,100.00%
res.wx.qq.com.sched.legopic1.tdnsv6.com,14,0.02%,14,0,100.00%
a1961.g2.akamai.net,14,0.02%,14,0,100.00%
