domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
www.bing.com,0,0.00%,343,343,0.00%
au.download.windowsupdate.com,0,0.00%,174,174,0.00%
rs1.qq.com,0,0.00%,177,177,0.00%
ts1.qq.com,0,0.00%,174,174,0.00%
rs2.qq.com,0,0.00%,170,170,0.00%
ts2.qq.com,0,0.00%,167,167,0.00%
dns.weixin.qq.com,0,0.00%,132,132,0.00%
vsk.cnode.xyz,0,0.00%,125,125,0.00%
mp.weixin.qq.com,0,0.00%,105,105,0.00%
zhidao.baidu.com,0,0.00%,121,121,0.00%
pay.wps.cn,0,0.00%,202,202,0.00%
hm.baidu.com,0,0.00%,129,129,0.00%
imap.qq.com,0,0.00%,143,143,0.00%
pubsub02.oray.net,0,0.00%,163,163,0.00%
www.sogou.com,0,0.00%,117,117,0.00%
diskapi.baidu.com,0,0.00%,187,187,0.00%
connectivitycheck.platform.hicloud.com,0,0.00%,113,113,0.00%
events.gfe.nvidia.com,0,0.00%,418,418,0.00%
amazon.com,0,0.00%,486,486,0.00%
security.ubuntu.com,0,0.00%,251,251,0.00%
www.w3.org,0,0.00%,30279,30279,0.00%
mtalk.google.com,0,0.00%,202,202,0.00%
hsk-embed.oray.com,0,0.00%,630,630,0.00%
mcafee-sustainability.azurewebsites.net,0,0.00%,143,143,0.00%
dr.ime.baidu.com,0,0.00%,103,103,0.00%
fe3cr.delivery.mp.microsoft.com,0,0.00%,131,131,0.00%
contentsec.ac.cn,0,0.00%,101,101,0.00%
rq.drcct.cloud.duba.net,0,0.00%,110,110,0.00%
ns03.domaincontrol.com,0,0.00%,216,216,0.00%
ns1.dns.com,0,0.00%,256,256,0.00%
ns1.taoa.com,0,0.00%,168,168,0.00%
ns2.dns.com,0,0.00%,256,256,0.00%
ns2.taoa.com,0,0.00%,162,162,0.00%
dns101.registrar-servers.com,0,0.00%,634,634,0.00%
dns102.registrar-servers.com,0,0.00%,630,630,0.00%
ns63.domaincontrol.com,0,0.00%,132,132,0.00%
ns64.domaincontrol.com,0,0.00%,128,128,0.00%
ns19.domaincontrol.com,0,0.00%,238,238,0.00%
ns20.domaincontrol.com,0,0.00%,240,240,0.00%
ns75.domaincontrol.com,0,0.00%,224,224,0.00%
prod-sav-park-lb01-1919960993.us-east-2.elb.amazonaws.com,0,0.00%,142,142,0.00%
auth.sangfor.com.cn,0,0.00%,559,559,0.00%
cn.archive.ubuntu.com,0,0.00%,279,279,0.00%
functional.events.data.microsoft.com,0,0.00%,119,119,0.00%
locprod2-elb-us-west-2.prod.mozaws.net,0,0.00%,127,127,0.00%
zhuanlan.zhihu.com,0,0.00%,103,103,0.00%
atm-settingsfe-prod-geo2.trafficmanager.net,0,0.00%,100,100,0.00%
www.wodaywo100001.com,0,0.00%,104,104,0.00%
kmd.antpool.com,0,0.00%,100,100,0.00%
sg.minexmr.com,0,0.00%,104,104,0.00%
verushash.mine.zergpool.com,0,0.00%,104,104,0.00%
sbtc.uupool.cn,0,0.00%,102,102,0.00%
pool.minexmr.com,0,0.00%,104,104,0.00%
donate.ssl.xmrig.com,0,0.00%,104,104,0.00%
awsmx.f2pool.com,0,0.00%,106,106,0.00%
ns41.hashvault.pro,0,0.00%,102,102,0.00%
api.mymonero.com,0,0.00%,100,100,0.00%
fr.minexmr.com,0,0.00%,104,104,0.00%
toa.mygametoa.com,0,0.00%,102,102,0.00%
donate.v2.xmrig.com,0,0.00%,102,102,0.00%
nhmws.nicehash.com,0,0.00%,102,102,0.00%
zec.uupool.cn,0,0.00%,104,104,0.00%
sea.wafflepool.com,0,0.00%,104,104,0.00%
de.minexmr.com,0,0.00%,102,102,0.00%
dcr.f2pool.com,0,0.00%,100,100,0.00%
www.fullskystar.top,0,0.00%,102,102,0.00%
asia2.ethermine.org,0,0.00%,104,104,0.00%
stratum.okpool.me,0,0.00%,102,102,0.00%
k8s.entrypoint.ops.sparkpool.com,0,0.00%,104,104,0.00%
xmr.flooder.org,0,0.00%,104,104,0.00%
pool-fr.supportxmr.com,0,0.00%,104,104,0.00%
eth.f2pool.com,0,0.00%,104,104,0.00%
asia1.ethpool.org,0,0.00%,100,100,0.00%
btw.uupool.cn,0,0.00%,102,102,0.00%
b4c.f2pool.com,0,0.00%,108,108,0.00%
ss.antpool.com,0,0.00%,102,102,0.00%
docs.nicehash.com,0,0.00%,102,102,0.00%
pool.hashvault.pro,0,0.00%,102,102,0.00%
turtlecoin.herominers.com,0,0.00%,100,100,0.00%
us1.ethpool.org,0,0.00%,102,102,0.00%
du.testjj.com,0,0.00%,104,104,0.00%
ns11.hashvault.pro,0,0.00%,100,100,0.00%
mailer.nicehash.com,0,0.00%,102,102,0.00%
btm.f2pool.com,0,0.00%,104,104,0.00%
rx.thegov.win,0,0.00%,988,988,0.00%
pool.supportxmr.com,0,0.00%,106,106,0.00%
etc.f2pool.com,0,0.00%,100,100,0.00%
pool.flooder.org,0,0.00%,102,102,0.00%
eth.ss.poolin.com,0,0.00%,102,102,0.00%
eth.antpool.com,0,0.00%,100,100,0.00%
miner.nicehash.com,0,0.00%,106,106,0.00%
raven.f2pool.com,0,0.00%,104,104,0.00%
monerohash.com,0,0.00%,100,100,0.00%
pool.minergate.com,0,0.00%,104,104,0.00%
blog.nicehash.com,0,0.00%,100,100,0.00%
smtp.nicehash.com,0,0.00%,102,102,0.00%
eth.uupool.cn,0,0.00%,102,102,0.00%
ca.minexmr.com,0,0.00%,104,104,0.00%
ckb.antpool.com,0,0.00%,102,102,0.00%
jp.sparkpool.com,0,0.00%,100,100,0.00%
api.nicehash.com,0,0.00%,100,100,0.00%
mail.nicehash.com,0,0.00%,100,100,0.00%
xmr.remuser.win,0,0.00%,1314,1314,0.00%
sources.openembedded.org,0,0.00%,5821,5821,0.00%
tunnel.cfw.trustedsource.org,0,0.00%,190,190,0.00%
